f;origem;destino;cols
vra_do_mes_2000_01.rdata;230;235;Sigla
vra_do_mes_2000_01.rdata;230;235;Voo
vra_do_mes_2000_01.rdata;230;235;DI
vra_do_mes_2000_01.rdata;230;235;TipoLinha
vra_do_mes_2000_01.rdata;230;235;AeroportoOrigem
vra_do_mes_2000_01.rdata;230;235;AeroportoDestino
vra_do_mes_2000_01.rdata;230;235;PartidaPrevista
vra_do_mes_2000_01.rdata;230;235;PartidaReal
vra_do_mes_2000_01.rdata;230;235;ChegadaPrevista
vra_do_mes_2000_01.rdata;230;235;ChegadaReal
vra_do_mes_2000_01.rdata;230;235;Situacao
vra_do_mes_2000_01.rdata;230;235;Justificativa
vra_do_mes_2000_02.rdata;223;231;Sigla
vra_do_mes_2000_02.rdata;223;231;Voo
vra_do_mes_2000_02.rdata;223;231;DI
vra_do_mes_2000_02.rdata;223;231;TipoLinha
vra_do_mes_2000_02.rdata;223;231;AeroportoOrigem
vra_do_mes_2000_02.rdata;223;231;AeroportoDestino
vra_do_mes_2000_02.rdata;223;231;PartidaPrevista
vra_do_mes_2000_02.rdata;223;231;PartidaReal
vra_do_mes_2000_02.rdata;223;231;ChegadaPrevista
vra_do_mes_2000_02.rdata;223;231;ChegadaReal
vra_do_mes_2000_02.rdata;223;231;Situacao
vra_do_mes_2000_02.rdata;223;231;Justificativa
vra_do_mes_2000_03.rdata;228;240;Sigla
vra_do_mes_2000_03.rdata;228;240;Voo
vra_do_mes_2000_03.rdata;228;240;DI
vra_do_mes_2000_03.rdata;228;240;TipoLinha
vra_do_mes_2000_03.rdata;228;240;AeroportoOrigem
vra_do_mes_2000_03.rdata;228;240;AeroportoDestino
vra_do_mes_2000_03.rdata;228;240;PartidaPrevista
vra_do_mes_2000_03.rdata;228;240;PartidaReal
vra_do_mes_2000_03.rdata;228;240;ChegadaPrevista
vra_do_mes_2000_03.rdata;228;240;ChegadaReal
vra_do_mes_2000_03.rdata;228;240;Situacao
vra_do_mes_2000_03.rdata;228;240;Justificativa
vra_do_mes_2000_04.rdata;224;230;Sigla
vra_do_mes_2000_04.rdata;224;230;Voo
vra_do_mes_2000_04.rdata;224;230;DI
vra_do_mes_2000_04.rdata;224;230;TipoLinha
vra_do_mes_2000_04.rdata;224;230;AeroportoOrigem
vra_do_mes_2000_04.rdata;224;230;AeroportoDestino
vra_do_mes_2000_04.rdata;224;230;PartidaPrevista
vra_do_mes_2000_04.rdata;224;230;PartidaReal
vra_do_mes_2000_04.rdata;224;230;ChegadaPrevista
vra_do_mes_2000_04.rdata;224;230;ChegadaReal
vra_do_mes_2000_04.rdata;224;230;Situacao
vra_do_mes_2000_04.rdata;224;230;Justificativa
vra_do_mes_2000_05.rdata;207;212;Sigla
vra_do_mes_2000_05.rdata;207;212;Voo
vra_do_mes_2000_05.rdata;207;212;DI
vra_do_mes_2000_05.rdata;207;212;TipoLinha
vra_do_mes_2000_05.rdata;207;212;AeroportoOrigem
vra_do_mes_2000_05.rdata;207;212;AeroportoDestino
vra_do_mes_2000_05.rdata;207;212;PartidaPrevista
vra_do_mes_2000_05.rdata;207;212;PartidaReal
vra_do_mes_2000_05.rdata;207;212;ChegadaPrevista
vra_do_mes_2000_05.rdata;207;212;ChegadaReal
vra_do_mes_2000_05.rdata;207;212;Situacao
vra_do_mes_2000_05.rdata;207;212;Justificativa
vra_do_mes_2000_06.rdata;217;222;Sigla
vra_do_mes_2000_06.rdata;217;222;Voo
vra_do_mes_2000_06.rdata;217;222;DI
vra_do_mes_2000_06.rdata;217;222;TipoLinha
vra_do_mes_2000_06.rdata;217;222;AeroportoOrigem
vra_do_mes_2000_06.rdata;217;222;AeroportoDestino
vra_do_mes_2000_06.rdata;217;222;PartidaPrevista
vra_do_mes_2000_06.rdata;217;222;PartidaReal
vra_do_mes_2000_06.rdata;217;222;ChegadaPrevista
vra_do_mes_2000_06.rdata;217;222;ChegadaReal
vra_do_mes_2000_06.rdata;217;222;Situacao
vra_do_mes_2000_06.rdata;217;222;Justificativa
vra_do_mes_2000_07.rdata;223;224;Sigla
vra_do_mes_2000_07.rdata;223;224;Voo
vra_do_mes_2000_07.rdata;223;224;DI
vra_do_mes_2000_07.rdata;223;224;TipoLinha
vra_do_mes_2000_07.rdata;223;224;AeroportoOrigem
vra_do_mes_2000_07.rdata;223;224;AeroportoDestino
vra_do_mes_2000_07.rdata;223;224;PartidaPrevista
vra_do_mes_2000_07.rdata;223;224;PartidaReal
vra_do_mes_2000_07.rdata;223;224;ChegadaPrevista
vra_do_mes_2000_07.rdata;223;224;ChegadaReal
vra_do_mes_2000_07.rdata;223;224;Situacao
vra_do_mes_2000_07.rdata;223;224;Justificativa
vra_do_mes_2000_08.rdata;209;210;Sigla
vra_do_mes_2000_08.rdata;209;210;Voo
vra_do_mes_2000_08.rdata;209;210;DI
vra_do_mes_2000_08.rdata;209;210;TipoLinha
vra_do_mes_2000_08.rdata;209;210;AeroportoOrigem
vra_do_mes_2000_08.rdata;209;210;AeroportoDestino
vra_do_mes_2000_08.rdata;209;210;PartidaPrevista
vra_do_mes_2000_08.rdata;209;210;PartidaReal
vra_do_mes_2000_08.rdata;209;210;ChegadaPrevista
vra_do_mes_2000_08.rdata;209;210;ChegadaReal
vra_do_mes_2000_08.rdata;209;210;Situacao
vra_do_mes_2000_08.rdata;209;210;Justificativa
vra_do_mes_2000_09.rdata;221;223;Sigla
vra_do_mes_2000_09.rdata;221;223;Voo
vra_do_mes_2000_09.rdata;221;223;DI
vra_do_mes_2000_09.rdata;221;223;TipoLinha
vra_do_mes_2000_09.rdata;221;223;AeroportoOrigem
vra_do_mes_2000_09.rdata;221;223;AeroportoDestino
vra_do_mes_2000_09.rdata;221;223;PartidaPrevista
vra_do_mes_2000_09.rdata;221;223;PartidaReal
vra_do_mes_2000_09.rdata;221;223;ChegadaPrevista
vra_do_mes_2000_09.rdata;221;223;ChegadaReal
vra_do_mes_2000_09.rdata;221;223;Situacao
vra_do_mes_2000_09.rdata;221;223;Justificativa
vra_do_mes_2000_10.rdata;214;219;Sigla
vra_do_mes_2000_10.rdata;214;219;Voo
vra_do_mes_2000_10.rdata;214;219;DI
vra_do_mes_2000_10.rdata;214;219;TipoLinha
vra_do_mes_2000_10.rdata;214;219;AeroportoOrigem
vra_do_mes_2000_10.rdata;214;219;AeroportoDestino
vra_do_mes_2000_10.rdata;214;219;PartidaPrevista
vra_do_mes_2000_10.rdata;214;219;PartidaReal
vra_do_mes_2000_10.rdata;214;219;ChegadaPrevista
vra_do_mes_2000_10.rdata;214;219;ChegadaReal
vra_do_mes_2000_10.rdata;214;219;Situacao
vra_do_mes_2000_10.rdata;214;219;Justificativa
vra_do_mes_2000_11.rdata;199;204;Sigla
vra_do_mes_2000_11.rdata;199;204;Voo
vra_do_mes_2000_11.rdata;199;204;DI
vra_do_mes_2000_11.rdata;199;204;TipoLinha
vra_do_mes_2000_11.rdata;199;204;AeroportoOrigem
vra_do_mes_2000_11.rdata;199;204;AeroportoDestino
vra_do_mes_2000_11.rdata;199;204;PartidaPrevista
vra_do_mes_2000_11.rdata;199;204;PartidaReal
vra_do_mes_2000_11.rdata;199;204;ChegadaPrevista
vra_do_mes_2000_11.rdata;199;204;ChegadaReal
vra_do_mes_2000_11.rdata;199;204;Situacao
vra_do_mes_2000_11.rdata;199;204;Justificativa
vra_do_mes_2000_12.rdata;214;215;Sigla
vra_do_mes_2000_12.rdata;214;215;Voo
vra_do_mes_2000_12.rdata;214;215;DI
vra_do_mes_2000_12.rdata;214;215;TipoLinha
vra_do_mes_2000_12.rdata;214;215;AeroportoOrigem
vra_do_mes_2000_12.rdata;214;215;AeroportoDestino
vra_do_mes_2000_12.rdata;214;215;PartidaPrevista
vra_do_mes_2000_12.rdata;214;215;PartidaReal
vra_do_mes_2000_12.rdata;214;215;ChegadaPrevista
vra_do_mes_2000_12.rdata;214;215;ChegadaReal
vra_do_mes_2000_12.rdata;214;215;Situacao
vra_do_mes_2000_12.rdata;214;215;Justificativa
vra_do_mes_2001_01.rdata;208;212;Sigla
vra_do_mes_2001_01.rdata;208;212;Voo
vra_do_mes_2001_01.rdata;208;212;DI
vra_do_mes_2001_01.rdata;208;212;TipoLinha
vra_do_mes_2001_01.rdata;208;212;AeroportoOrigem
vra_do_mes_2001_01.rdata;208;212;AeroportoDestino
vra_do_mes_2001_01.rdata;208;212;PartidaPrevista
vra_do_mes_2001_01.rdata;208;212;PartidaReal
vra_do_mes_2001_01.rdata;208;212;ChegadaPrevista
vra_do_mes_2001_01.rdata;208;212;ChegadaReal
vra_do_mes_2001_01.rdata;208;212;Situacao
vra_do_mes_2001_01.rdata;208;212;Justificativa
vra_do_mes_2001_02.rdata;209;213;Sigla
vra_do_mes_2001_02.rdata;209;213;Voo
vra_do_mes_2001_02.rdata;209;213;DI
vra_do_mes_2001_02.rdata;209;213;TipoLinha
vra_do_mes_2001_02.rdata;209;213;AeroportoOrigem
vra_do_mes_2001_02.rdata;209;213;AeroportoDestino
vra_do_mes_2001_02.rdata;209;213;PartidaPrevista
vra_do_mes_2001_02.rdata;209;213;PartidaReal
vra_do_mes_2001_02.rdata;209;213;ChegadaPrevista
vra_do_mes_2001_02.rdata;209;213;ChegadaReal
