ICAO OPERADOR AÉREO;IATA OPERADOR AÉREO;NOME OPERADOR AÉREO;PAÍS SEDE
AAL;AA;AMERICAN AIRLINES, INC.;ESTADOS UNIDOS DA AMÉRICA
ABJ;E4;ATA - AEROTÁXI ABAETÉ LTDA.;BRASIL
ACA;AC;AIR CANADA;CANADÁ
ACN;2F;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASIL
AEA;UX;AIR EUROPA LINEAS AEREAS SOCIEDAD ANONIMA;ESPANHA
AFR;AF;SOCIÉTÉ AIR FRANCE;FRANÇA
AMX;AM;AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;MÉXICO
ANS;O4;ANDES LINEAS AEREAS;ARGENTINA
ARE;4C;AIRES - AEROVÍAS DE INTEGRACÍON REGIONAL S.A.;COLÔMBIA
ARG;AR;AEROLINEAS ARGENTINAS S/A;ARGENTINA
AVA;AV;AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA;COLÔMBIA
AXY;6V;AIR X CHARTER LTD;MALTA
AZU;AD;AZUL LINHAS AÉREAS BRASILEIRAS S/A;BRASIL
BAW;BA;BRITISH AIRWAYS PLC;INGLATERRA
BOV;OB;BOA BOLIVIANA DE AVIACIÓN;BOLÍVIA
CCA;CA;AIR CHINA;CHINA
CFG;DE;CONDOR FLUGDIENST GMBH;ALEMANHA
CLX;CV;CARGOLUX AIRLINES INTERNATIONAL S/A;LUXEMBURGO
CMP;CM;COMPAÑIA PANAMEÑA DE AVIACION S.A. (COPA AIRLINES);PANAMÁ
CQB;Q1;APUÍ TÁXI AÉREO S/A;BRASIL
CXB;CS;COMLUX ARUBA NV;ARUBA
DAE;D5;DHL AERO EXPRESO;PANAMÁ
DAL;DL;DELTA AIR LINES INC.;ESTADOS UNIDOS DA AMÉRICA
DLH;LH;DEUTSCHE LUFTHANSA A.G.;ALEMANHA
DTA;DT;TAAG LINHAS AÉREAS DE ANGOLA (ANGOLA AIRLINES);ANGOLA
DWI;DM;ARAJET S.A.;REPÚBLICA DOMINICANA
ETH;ET;ETHIOPIAN AIRLINES GROUP;ETIÓPIA
FBZ;FO;FB LÍNEAS AÉREAS S.A (FLYBONDI);ARGENTINA
FDX;FX;FEDEX - FEDERAL EXPRESS CORPORATION;ESTADOS UNIDOS DA AMÉRICA
GEC;G0;LUFTHANSA CARGO AG;ALEMANHA
GLO;G3;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);BRASIL
GTI;5Y;ATLAS AIR INC;ESTADOS UNIDOS DA AMÉRICA
GXA;G6;GLOBAL CROSSING AIRLINES, INC.;ESTADOS UNIDOS DA AMÉRICA
HFM;3L;HI FLY LIMITED (EX-MALTA);MALTA
IBE;IB;IBÉRIA LINEAS AEREAS DE ESPAÑA SOCIEDAD ANONIMA OPERADORA;ESPANHA
ITY;AZ;ITALIA TRANSPORTO AEREO S.P.A.;ITÁLIA
JAT;JA;JETSMART AIRLINES SPA - CHILE;CHILE
JES;WJ;JETSMART AIRLINES S.A - ARGENTINA;ARGENTINA
KAL;KE;KOREAN AIR LINES CO. LTD.;COREIA DO SUL
KLM;KL;KLM CIA. REAL HOLANDESA DE AVIAÇÃO;HOLANDA
KRE;6N;AEROSUCRE SA;COLÔMBIA
LAE;L7;LÍNEA AÉREA CARGUEIRA DE COLOMBIA S.A - LANCO;COLÔMBIA
LAN;LA;LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);CHILE
LAP;PZ;TRANSPORTE AÉREOS DEL MERCOSUR S.A. (TAM MERCOSUR);PARAGUAI
LCO;UC;LAN CARGO S.A.;CHILE
