"Sigla  da Empresa";"Número do Voo";"D I";"Tipo de Linha";"Aeroporto Origem";"Aeroporto Destino";"Partida Prevista";"Partida Real";"Chegada Prevista";"Chegada Real";"Situação";"Justificativa"
"TUS";" 8421";"0";"G";"KMIA";"SBEG";"18/08/2004 05:50";"  ";"18/08/2004 10:00";"  ";"Cancelado";"XN"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"28/08/2004 05:50";"28/08/2004 04:48";"28/08/2004 08:24";"28/08/2004 07:05";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"27/08/2004 05:50";"27/08/2004 04:48";"27/08/2004 08:24";"27/08/2004 07:05";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"26/08/2004 05:50";"26/08/2004 04:44";"26/08/2004 08:24";"26/08/2004 06:46";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"18/08/2004 05:50";"18/08/2004 04:59";"18/08/2004 08:24";"18/08/2004 07:15";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"04/08/2004 05:50";"04/08/2004 04:33";"04/08/2004 08:24";"04/08/2004 06:45";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"13/08/2004 05:50";"13/08/2004 08:49";"13/08/2004 08:24";"13/08/2004 11:00";"Realizado";"WO"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"31/08/2004 05:50";"31/08/2004 04:48";"31/08/2004 08:24";"31/08/2004 06:46";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"21/08/2004 05:50";"21/08/2004 05:03";"21/08/2004 08:24";"21/08/2004 07:26";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"25/08/2004 05:50";"25/08/2004 05:50";"25/08/2004 08:24";"25/08/2004 08:24";"Realizado";"  "
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"17/08/2004 05:50";"17/08/2004 04:35";"17/08/2004 08:24";"17/08/2004 06:40";"Realizado";"MX"
"TUS";" 8421";"0";"G";"KMIA";"SBEG";"04/08/2004 05:50";"  ";"04/08/2004 10:00";"  ";"Cancelado";"XN"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"10/08/2004 05:50";"10/08/2004 05:30";"10/08/2004 08:24";"10/08/2004 07:47";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"12/08/2004 05:50";"12/08/2004 10:00";"12/08/2004 08:24";"12/08/2004 12:02";"Realizado";"WO"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"14/08/2004 05:50";"14/08/2004 05:50";"14/08/2004 08:24";"14/08/2004 08:24";"Realizado";"  "
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"19/08/2004 05:50";"19/08/2004 06:49";"19/08/2004 08:24";"19/08/2004 09:06";"Realizado";"WO"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"20/08/2004 05:50";"20/08/2004 04:30";"20/08/2004 08:24";"20/08/2004 06:43";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"11/08/2004 05:50";"11/08/2004 09:29";"11/08/2004 08:24";"11/08/2004 11:35";"Realizado";"WO"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"03/08/2004 05:50";"03/08/2004 05:16";"03/08/2004 08:24";"03/08/2004 07:25";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"24/08/2004 05:50";"24/08/2004 04:53";"24/08/2004 08:24";"24/08/2004 06:57";"Realizado";"MX"
"TUS";" 8421";"0";"G";"KMIA";"SBEG";"25/08/2004 05:50";"  ";"25/08/2004 10:00";"  ";"Cancelado";"XN"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"07/08/2004 05:50";"07/08/2004 05:50";"07/08/2004 08:24";"07/08/2004 08:24";"Realizado";"  "
"TUS";" 8421";"0";"G";"KMIA";"SBEG";"11/08/2004 05:50";"  ";"11/08/2004 10:00";"  ";"Cancelado";"XN"
"PTN";" 4761";"0";"R";"SBBU";"SBSP";"31/08/2004 06:00";"  ";"31/08/2004 06:53";"  ";"Cancelado";"XB"
"VRG";" 8865";"0";"I";"SBGR";"SBGL";"26/08/2004 06:00";"  ";"26/08/2004 07:00";"  ";"Cancelado";"XN"
"MSQ";" 6450";"0";"R";"SBBE";"SBMQ";"17/08/2004 06:00";"17/08/2004 06:00";"17/08/2004 06:50";"17/08/2004 06:50";"Realizado";"  "
"VSP";" 4199";"0";"N";"SBEG";"SBBE";"27/08/2004 06:00";"27/08/2004 06:00";"27/08/2004 08:00";"27/08/2004 08:00";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBUR";"SBAQ";"12/08/2004 06:00";"12/08/2004 06:00";"12/08/2004 06:40";"12/08/2004 06:40";"Realizado";"  "
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"17/08/2004 06:00";"17/08/2004 06:00";"17/08/2004 07:10";"17/08/2004 07:10";"Realizado";"  "
"VSP";" 4420";"0";"C";"SBBR";"SBCF";"27/08/2004 06:00";"  ";"27/08/2004 07:10";"  ";"Cancelado";"XN"
"VRG";" 2365";"0";"N";"SBPL";"SBRF";"27/08/2004 06:00";"27/08/2004 06:00";"27/08/2004 07:15";"27/08/2004 07:15";"Realizado";"  "
"GLO";" 1665";"0";"N";"SBGR";"SBFL";"02/08/2004 06:00";"02/08/2004 06:00";"02/08/2004 07:00";"02/08/2004 07:00";"Realizado";"  "
"GLO";" 1715";"0";"E";"SBMO";"SBSV";"03/08/2004 06:00";"03/08/2004 06:00";"03/08/2004 07:00";"03/08/2004 07:00";"Realizado";"  "
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"15/08/2004 06:00";"15/08/2004 06:00";"15/08/2004 07:10";"15/08/2004 07:10";"Realizado";"  "
